id,model_name,name,trigger_value,trigger_error,stale_before,trigger_check_at,triggered_at,created_at
1,athena,athena_default_datagroup,,,,,,1562738053
2,core_analytics,subscription_datagroup,2024-07-24,,1721894113,1721938256,,1563901345
3,core_analytics,filtered_sublime,2023-01-02,,1672733264,1672766103,,1564074230
4,core_analytics,datorama_datagroup,2019-11-06,"SQL compilation error:
'DSS_PROD.DSS.ADOBE_MTA' does not exist or not authorized.",1573157714,1620852179,,1564528685
5,marketing,adobe_datagroup,19360,,1672740623,1672766104,,1564581840
6,marketing,subscription_datagroup,2023-01-02,,1672739855,1672766105,,1564797999
7,dev_disney_plus,content_datagroup,2020-10-31,,1604311776,1604358594,,1566583715
8,athena,subscription_datagroup,2023-01-05,,1672988380,1673042591,,1568234694
9,dev_disney_plus,error_detection,,"SQL compilation error: error line 6 at position 14
identifier 'START_DATE_UTC'",1570226948,1604358594,,1570050655
10,dev_disney_plus,kalin_dashboard_test,,"SQL compilation error: error line 1 at position 11
identifier 'CHECK_TIMESTAMP'",,1604358595,,1571433013
11,disney_plus,adobe_datagroup,19360,,1672743842,1672766106,,1573891664
12,test_verified,subscription_datagroup,2020-02-04,,1580908247,1580936845,,1580544602
13,test_verified,datorama_datagroup,,"SQL compilation error:
'DSS_PROD.DSS.ADOBE_MTA' does not exist or not authorized.",,1580936845,,1580544603
14,arc_prod_model,arc_series_level,2022-08-30,"SQL compilation error:
'DIM_DISNEY_ENTITLED_ACCOUNTS_FOR_CONTENT' does not exist or not authorized.",1662060519,1672604134,,1584688063
15,espn_plus,covid_refresh,19929,,1721883705,1721937652,,1586203031
16,arc_prod_model,arc_metric_store_level,2023-01-01T13:00:00+00:00,,1672607747,1672604134,,1595952414
17,arc_prod_model,arc_realtime_metric_store_level,2021-11-17T14:00:00+00:00,"SQL compilation error:
definition for 'DSS_PROD.DISNEY_PLUS.FACT_DISNEY_CONTENT_REALTIME_METRIC_STORE_V' declared 15 column(s), but view query produces 17 column(s).",1637180469,1641068268,,1597396213
18,da_hub_test,hub_realtime_metric_store_level,2021-11-17T14:00:00+00:00,"SQL compilation error:
definition for 'DSS_PROD.DISNEY_PLUS.FACT_DISNEY_CONTENT_REALTIME_METRIC_STORE_V' declared 15 column(s), but view query produces 17 column(s).",1637180469,1641068166,,1599721356
19,snowflake_usage_block,snowflake_usage_block_default_datagroup,,,,,,1600910410
20,disney_plus,datos_datagroup,39859,,1721911205,1721937481,,1604520398
21,disney_plus,subs_ms_datagroup,2024-07-24,,1721913222,1721938701,,1620079670
22,disney_plus,subscriber_metric_store_datagroup,2024-07-24,,1721907568,1721937479,,1620159011
23,disney_plus,watches_agg_devicetype_datagroup,2024-07-24,,1721913222,1721937479,,1620159014
24,disney_plus,sm_daily_account_engagement_cohort_datagroup,2024-02-04,,1707144233,1707154803,,1620327638
25,disney_plus,subs_ms_backfill_datagroup,2021-08-26,,1630094097,1672766109,,1622228422
26,dge_disney_plus,subscriber_metric_store_datagroup,2024-07-24,,1721907568,1721937677,,1632762306
27,acquisition_analytics,subscription_datagroup,2024-07-24,,1721894113,1721938700,,1633098737
28,wds_disney_plus,subscriber_metric_store_datagroup,2024-02-21,,1708601224,1708625276,,1635429686
29,disney_plus,subs_ms_datagroup_sunday_send,2021-12-11,,1639327049,1639606844,,1635444574
30,disney_plus,subs_ms_datagroup_monday_send,2021-12-12,,1639413446,1639606844,,1635449463
31,espn_plus,eplus_subs,2024-02-25,"SQL compilation error:
'DSS_PROD' does not exist or not authorized.",1708950676,1721937653,,1637006427
32,disney_plus,service_subs_ms_datagroup_NPA,2024-07-24,,1721913222,1721938701,,1639607456
33,disney_plus,service_subs_ms_datagroup_sunday_send_NPA,2024-07-20,,1721567048,1721938702,,1639607457
34,disney_plus,service_subs_ms_datagroup_monday_send_NPA,2024-07-21,,1721656058,1721938702,,1639607458
35,disney_plus,unified_subs_ms_datagroup_NPA,2024-07-24,,1721911205,1721938702,,1639607460
36,disney_plus,unified_subs_ms_datagroup_sunday_send_NPA,2024-07-20,,1721565183,1721938703,,1639607462
37,disney_plus,unified_subs_ms_datagroup_monday_send_NPA,2024-07-21,,1721656058,1721938703,,1639607463
38,search_platform,search_metrics_store_datagroup,445848,,1721869696,1721937677,,1641391518
39,unified_subscribers,dim_subscriptions_v_datagroup,2024-07-24,,1721895297,1721937482,,1642631107
40,unified_subscribers,unified_subs_ms_datagroup,2024-07-24,,1721911205,1721937676,,1643232740
41,dss_hub,subscriber_metric_store_datagroup,2022-02-17,,1645194241,1645215663,,1643745175
42,cost_attribution,cost_attribution_default_datagroup,,,,,,1643925133
43,corporate_controllership,subscriber_metric_store_datagroup,2024-07-24,,1721907568,1721937680,,1644428535
